Touroku No,name,zip,adr,tel,tel2,fax,open,teikyuu,location,holiday,saigai,zaitaku1,zaitaku2,hinin_tyouzai,hinin_hanbai,pharmacist,member,area
42,そうごう薬局 つきみ野店,2420002,大和市つきみ野1-6-29,046-206-5361,046-206-5361,046-206-5362,月･火･水･金…9:00-18:30 、木…9:00-17:00、土…9:00-14:00,日・祝、夏季・年末年始,"35.50264805217463, 139.4566054310848",1,1,1,,,,,,つきみ野・中央林間
43,高座渋谷メディカルプラザ薬局,2420023,大和市渋谷五丁目6番地21,046-244-6230,046-244-6230,046-244-6231,月～金 9:00～19:00、土 9:00～13:00,日・祝、夏季・年末年始,"35.435451735249906, 139.46163198618544",1,1,1,,,,竹内　美穂,会員,高座渋谷
44,大和ファーマシー,2420017,大和市大和東2-5-12,046-264-3611,090-9514-6183,046-205-4061,月･火･水･金 9：00～18：00 　木9：00～17：00　土 9:00〜13:00,日曜日・祝日 12/30～1/3,"35.47264652807688, 139.46206338493928",1,1,,,,,平野　香代子,会員,大和駅周辺
45,南山堂薬局 綾瀬店,2521107,綾瀬市深谷中1-8-1,0467-73-8461,0467-73-8461,0467-73-8462,月～土 9：00～18：00,日曜日および祝日、12/31～1/3,"35.43299230744681, 139.4313591962046",1,1,1,,,,森野　徹宏,会員,綾瀬市
46,クリエイト薬局つきみ野,2420002,神奈川県大和市つきみ野 5-17-3,046-278-1175,046-278-1176,,月・火・木・金 9:00～19:00 水・土 9：00〜17：30,日・祝・12/31～1/3,"35.51121930063854, 139.45936411811536",1,1,,,,,磯野勇太,非会員,つきみ野・中央林間
47,クリエイト綾瀬上土棚店,2521113,神奈川県綾瀬市上土棚中 1-11-22,0467-79-8061,,0467-79-8062,月～土 9:30～18:30,日・祝・12/31～1/3,"35.41707125767333, 139.44793278650866",1,1,,,,,保坂　咲希,非会員,綾瀬市
48,クリエイト南綾瀬店,2521114,神奈川県綾瀬市上土棚南 2-7-83,0467-77-6180,,0467-77-6181,月～土 10:00～13:30、14:30～18:30,日・祝・12/31～1/3,"35.41327894349475, 139.44646216809758",1,1,,,,,八木原　孝,非会員,綾瀬市
49,セブンス薬局 中央林間店,2420007,神奈川県大和市中央林間8-25-10,046-278-6626,,046-278-6636,月～水・金 9：00～12：50 15：00～18：50 土 9：00～12：30 14：30～16：45,木曜・日曜・祝日,"35.509256545589786, 139.4484393719716",1,1,,,,,岩本　明美,会員,つきみ野・中央林間
50,トマト薬局高座渋谷店,2420023,大和市渋谷7-28-3,046-204-7197,046-204-7197,046-204-7199,月・火・木・金9：00～18：30、水9：00～17：00、土9：00～14：00,日・祝・年末年始,"35.4323078464065, 139.46553548978244",1,1,,,1,1,R８年7/20まで菊池　めぐみ R8年7/21から中沢　百合子,会員,高座渋谷
51,ドラッグセイムス綾瀬南薬局,2521113,神奈川県綾瀬市上土棚中3-4-11,0467-73-8716,0467-73-8719,0467-73-8716,月～土 10：00-14：00 15：00-19：00,日・祝、年末年始,"35.419173844324, 139.45315390091636",1,1,,,,,,会員,綾瀬市
52,クリエイト綾瀬大上店,2521104,神奈川県綾瀬市大上1-9-2 2階,0467-79-5202,なし,0467-79-5203,月～土 10:00～13:30、14:30～18:30,日・祝・12/31～1/3,"35.45460114476996, 139.4288948965552",1,1,,,,,服部　颯,非会員,綾瀬市
53,クリエイト大和高座渋谷店,2420023,神奈川県大和市渋谷 6-18-2,046-267-8001,,046-267-8002,月～土 10:00～13:30、14:30～18:30,日・祝・12/31～1/3,"35.43455634220015, 139.46552656017664",1,1,,,,,荒河　希,非会員,高座渋谷
54,クリエイト大和代官店,2420025,神奈川県大和市代官4-18-3,046-269-5880,046-269-5881,,月～土 10:00～13:30、14:30～18:30,日・祝・12/31～1/3,"35.4385781994885, 139.45433581196653",1,1,,,,,近内　悠記,非会員,高座渋谷
55,調剤薬局ツルハドラッグ大和駅前店,2420017,大和市大和東1-2-1,046-265-3268,080-6067-8110,046-265-3268,月～金 10：00～19：00、土 10：00～17：00,日、祝、12/30～1/3,"35.47060494485422, 139.4615646891979",,1,,,,,,,大和駅周辺
56,調剤薬局ツルハドラッグ大和渋谷店,2420023,大和市渋谷5丁目39番地3,046-279-6268,080-9000-6685,046-279-6268,月～金 9：00～13：00 14：00～18：00、土 9：00～13：00,日、祝、12/29～1/3,"35.43239331070364, 139.46223177096314",,1,,,,,,,高座渋谷
57,薬局トモズ 中央林間東急スクエア店,2420007,大和市中央林間4-12-1-1F,046-206-5255,090-3528-6417,046-278-1771,月～金 10：00～19：00,土、日、祝,"35.50739416648238, 139.44603097896615",,1,,,,,,,つきみ野・中央林間
58,ペンギン薬局,2420007,大和市中央林間4-5-5,046-276-8640,,046-276-8640,月～土 9：00～19：00,日、祝、夏季・年末年始,"35.50848562302363, 139.444546805197",1,1,,,1,1,中川　透,会員,つきみ野・中央林間
59,今木薬局,2420006,大和市南林間1-5-8,046-274-2114,090-7277-6939,046-276-5844,月～金 9：00～18：30、土 9：00～18：00,日、祝祭日,"35.49441551695042, 139.44725321915575",1,,,,,,,,南林間
60,クリエイト薬局 南林間ヒメシャラ通り店,2420008,大和市中央林間西1-17-3,046-240-0692,,046-240-0693,月～土 10：00～13：30 14：30～18：30,日、祝,"35.500009120290834, 139.44089924625712",1,1,,,,,羽里　卓矢,非会員,南林間
61,クリエイト薬局 大和下鶴間店,2420001,大和市下鶴間3002-2,046-244-6505,046-244-6505,046-244-6506,月～土 10：00～13：30 14：30～18：30,日、祝、12/31～1/3,"35.49906411102295, 139.45167871229916",1,1,,,,,佐藤　雄二,非会員,南林間
62,まごころ薬局桜ヶ丘店,2420024,大和市福田2-8-1,046-259-5755,,046-259-5756,月～水、金 9：30～13：00 15：00～18：00 土 9：30～12：30,木、日、祝、8/13～8/15、12/31～1/3,"35.44793958770404, 139.46440221264461",,1,,,,,,,桜ヶ丘
63,調剤薬局ツルハドラッグ南林間駅前店,2420003,大和市林間2-1-1 南林間リバゲイン1階,046-271-7268,080-6066-4022,046-271-7268,月～金 9：30～14：00、15：00～18：30 土 9：30～15：30,日、祝、年末年始,"35.49659729682118, 139.4477942603601",,1,,,,,,,南林間
64,調剤薬局ツルハドラッグライズモール綾瀬店,2521107,綾瀬市深谷中7-18-2,046-733-6323,080-5410-1236,046-733-6323,月～水 9：00～19：00、木～金 9：00～13：00、土 9：00～18：00、日・祝 9：00～17：00,なし,"35.435916485402814, 139.44181221540882",,1,,,,,,,綾瀬市
65,薬樹薬局 南林間,2420003,大和市林間2-1-24 青木ビル1階,046-278-2550,046-278-2550,046-278-2551,月・木～土 9:00～18:00、火・水 9:00～19:00,日・祝、12/29～1/3,"35.49690166790587, 139.44821048290933",1,1,1,,1,,岩政香江,会員,南林間
66,クリエイト薬局 綾瀬深谷上店,2521108,綾瀬市深谷上6-51-17,046-779-0158,,0467-79-0159,月～土 10：00～13：30、14：30～18：30,日、祝、12/31～1/3,"35.443600750927224, 139.4319044208084",1,1,,,,,佐藤　瞳,非会員,綾瀬市
67,さくら薬局 中央林間駅前店,2420007,大和市中央林間3-5-11,046-272-5246,070-2474-4417,046-272-5247,月・火・木・金 9：00～18：30、水 9：30～18：30、土 8：30～13：00,日、祝、12/31～1/3,"35.507689430492505, 139.44355028743993",1,1,1,,,1,森　光希,会員,つきみ野・中央林間
68,サンドラッグ西鶴間薬局,2420005,大和市西鶴間4-12-38,046-204-7661,,046-204-7661,月～土 9：30～14：00、15：30～19：00,日、祝、12/31～1/3,"35.48639567667453, 139.4457239385613",,1,,,,,,,鶴間
69,ノバ薬局 下和田店,2420015,大和市下和田1170-1,046-268-3825,070-4355-1437,046-268-3899,月～金 9：00～16：30、土 9：00～13：00,日、祝、12/30～1/3,"35.432426257192894, 139.46849969006888",,1,,,,,金城　貴子,会員,高座渋谷
70,まごころ薬局下鶴間店,2420007,大和市中央林間7-1-8,046-240-7590,,046-240-7687,月～水、金 9：00～18：30、土 9：00～14：00,木、日、祝、夏季、冬季（12/30～1/3）,"35.50178401885686, 139.44989044263608",,1,,,,,風間　沙也加,会員,つきみ野・中央林間
71,桜ヶ丘東口駅前薬局,2420024,大和市福田5523-7,046-259-8442,046-259-8442,046-259-8442,月・火・水・金 9：00～13：00、15：00～19：00、土 ９：00～13：00,木、日、祝、12/31～1/3,"35.450775070687264, 139.46633704448308",,1,,,,,渡邉幸一,会員,桜ヶ丘
72,大和あおぞら薬局,2420017,大和市大和東1-8-10-2,046-261-8084,046-261-8074,046-261-8084,月・火・水・金 9：00～19：00、木 10：00～18：00、土 ９：00～17：00,日、祝、12/30～1/3,"35.470136376904165, 139.4640330077016",1,1,1,,,,矢野　良太郎,会員,大和駅周辺
73,田辺薬局大和駅東店,2420017,大和市大和東3-4-18,046-200-5166,046-200-5166,046-200-5167,月・火・木・金 9：00～18：00、土 9：00～13：00,水、日、祝、夏季、年末年始,"35.472088186197425, 139.4660815150971",,1,,,,,,,大和駅周辺
74,わかば薬局中央林間店,2420007,大和市中央林間3-11-1　サンケイビルⅢ3F,046-200-9137,046-200-9137,046-200-9138,月～金　9：00～18：00、土　9：00～13：00,日、祝、12/30～1/3,"35.50794487845726, 139.44341084263638",1,1,1,,1,1,小室　壮登,会員,つきみ野・中央林間
75,あけぼの薬局綾瀬店,2521113,綾瀬市上土棚中1-1-14,0467-702-700,080-2111-8136,0467-70-2705,月・火・木・金 9：00～18：00、水 9：00～17：00  土9：00～13：00,日、祝、12/30～1/3,"35.42161523091121, 139.4448075581986",1,1,1,,1,,田頭　庸子,会員,綾瀬市
76,くろだ薬局,2420007,大和市中央林間3-2-6,046-276-0044,070-8715-2969,046-204-4847,月・木 9：00～13：00、14：00～19：00、火・金 9：00～19：00、水 9：00～17：00、土 9：00～14：00,日、祝、年末年始,"35.50733297965551, 139.44398081195183",1,1,1,,,,弓削宏一郎,会員,つきみ野・中央林間
77,さくら薬局,2420021,大和市中央3-8-26,046-262-2731,046-262-2731,046-262-2732,月・火・水・金 9：00～19：00、木 9：00～18：00、土 9：00～13：00,日、祝、12/30～1/3,"35.4725631103073, 139.4572597245587",1,1,1,,1,1,清水　美帆,非会員,大和駅周辺
78,サンドラッグ大和深見西薬局,2420018,大和市深見西8-2-13,046-262-8151,,046-262-8162,月～金 8：30～18：00,土、日、祝、12/29～1/3,"35.486362612674036, 139.45903554633338",,1,,,,,,,大和駅周辺
79,健ナビ薬樹薬局 南林間,2420003,大和市林間2丁目1番25号ルックハイツ南林間1階,046-276-0435,046-276-0435,046-276-0446,月～土 9：00～18：00,日、祝、12/31～1/3,"35.497109769357756, 139.44817298071592",1,1,1,,,,齋藤　俊太,会員,南林間
80,田園ファーマシー,2420007,大和市中央林間4-15-22,046-276-4800,046-276-4800,046-277-1355,月～金 9：00～19：00、土 9：00～18：00,日、祝、12/31～1/3,"35.5080555283124, 139.44639639752648",1,1,1,,1,,工藤　瑠莉,会員,つきみ野・中央林間
81,薬樹薬局光が丘,2420016,大和市大和南2-6-8 大和南メディカルモール1階B,046-264-0973,046-264-0973,046-264-0984,月～金 9：00～18：00、土 9：00～17：30,日、祝,"35.46790585681547, 139.46422385187927",1,1,1,,1,1,児山　直樹,会員,大和駅周辺
82,薬樹薬局大和,2420018,大和市深見西8-2-12,046-262-7071,046-262-7071,046-262-7072,月～金 8：30～18：30、土 8：30～12：30,日、祝、12/29～1/3,"35.48622471289895, 139.45907623653775",1,1,1,,1,,加納　隼人,会員,鶴間
83,薬樹薬局中央林間,2420007,大和市中央林間4-16-20中央林間メディカルモール1階,046-278-2731,046-278-2731,046-278-2732,月・水・金 9：00～18：30、火 9：00～18：00、木 9：00～18：00（休憩14：00～15：00）、土 9：00～17：00、第2、4日 10：00～13：00,第1日、第3日、祝 　年末年始,"35.50829557865504, 139.44747358866317",1,1,1,,1,,坂井　奈美子,会員,つきみ野・中央林間
84,大和漢方センター田辺薬局,2420021,大和市中央2-1-21,046-261-1380,046-261-1380,046-264-7018,月～土 9：00～19：00,日、祝、12/31～1/3,"35.47062989101779, 139.46094219051042",1,1,0,,1,1,加藤　久志,会員,大和駅周辺
85,日本調剤マルシェ中央林間薬局,2420007,大和市中央林間4-4-3小田急マルシェ中央林間3階,046-259-9832,070-480-65956,046-259-9837,月～金　9：00～19：00、土　9：00～18：00　第二第四日曜　9：00～13：00,第一、第三、第五日曜、祝日,"35.50855045146773, 139.444263794498",1,1,1,,1,,福元愛美,非会員,つきみ野・中央林間
86,のぞみ薬局２号店,2420007,大和市中央林間3-12-15,046-272-5599,,046-272-5599,月～水・金 9:00～19:00、土9：00～17：30,木、日、祝,"35.508432156932805, 139.44296218347912",,,,,,,,,つきみ野・中央林間
87,すずらん薬局,2420007,大和市中央林間4-11-17,046-240-8800,,046-240-8808,月～水・金 8：40～18：00 土 8：30～12：00,水・日・祝,"35.50634462603692, 139.4463662608147",,,,,,,,,つきみ野・中央林間
88,オダギリ薬局 中央林間駅前店,2420007,大和市中央林間4-14-2,046-276-5529,,046-276-5529,月～土 10：00～20：00,日,"35.50810612294027, 139.44532122031455",,,,,,,,,つきみ野・中央林間
89,つぐみ薬局,2420007,大和市中央林間3-9-6 ｷｬｯｽﾙ町田１F,046-240-8521,,046-240-8572,月・火・木・金 9：00～12：30・15：00～18：00 土 9:00～12：30,水・日・祝,"35.50707808118565, 139.4426741339488",,,,,,,,,つきみ野・中央林間
90,つきみ野薬局,2420002,大和市つきみ野4-5-1,046-275-1275,,046-275-1299,月～金 9：00～18：00、土 9：00～13：00,日・祝,"35.51013616708432, 139.45963113557855",,,,,,,,,つきみ野・中央林間
91,今木薬局駅前店,2420006,大和市南林間2-11-17,046-276-1526,,046-277-5355,月・火・水・金 9：00～19：00 木 9：00～18：30 土 9：00～18：00,日・祝,"35.49437124827882, 139.4475926886626",,,,,,,,,南林間
92,川上薬局,2420006,大和市南林間7-11-1,046-275-2031,,046-275-2031,月～金 9：00～19：00 土 9：00～13：00,日・祝,"35.49292947493428, 139.4378508564863",,,,,,,,,南林間
93,健ナビ薬樹薬局 南林間,2420003,大和市林間2-1-25 ルックハイツ南林間１階,046-276-0435,046-276-0435,046-276-0446,月～土 9：00～18：00,日・祝,"35.497066095215736, 139.4480120481826",,,,,,,齋藤俊太,会員,南林間
94,六条薬局,2420006,大和市南林間5-10-6,046-272-2378,,046-272-2378,月～水・金 ９：００～１２：００・１５：３０～１８：３０ 土 ９：００～１２：００,木・日・祝,"35.499619602258846, 139.46082365479643",,,,,,,,,南林間
95,ヴィーナス薬局,2420006,大和市南林間1-19-14 牧口店舗A号,046-219-5557,,046-219-5557,月・木～土 11：00～19：00 日 13：00～18：00,火・水・祝,"35.494834079588834, 139.4462181071514",,,,,,,,,南林間
96,イオン薬局大和鶴間店,2420001,大和市下鶴間1-2-1,046-200-3715,,,月～日 9：00～20：00,なし,"35.48928267222075, 139.4582374346891",,,,,,,,,鶴間
97,エース薬局,2420005,大和市西鶴間3-13-20,046-259-7725,,046-272-1944,月・火・木・金 9：00～13：00 15：00～19：00 水・土 9：00～13：00,日・祝,"35.488489320809, 139.4525625141354",,,,,,,,,鶴間
98,アミー薬局,2420005,大和市西鶴間3-5-6-114,046-264-9381,,046-264-7347,月・火・木・金 9：00～17：00 土 9：00～13：00,水・日・祝,"35.487940695924195, 139.45563418319296",,,,,,,,,鶴間
99,UK薬局,2420005,大和市西鶴間4-1-6,046-263-2321,,046-263-2321,月～金 8：30～12：00 13：00～18：00 土 8：30～13：00,日・祝,"35.48730900302066, 139.44912451536047",,,,,,,,,鶴間
100,ヤマグチ薬局 鶴間店,2420004,大和市鶴間1-22-11,046-200-1321,,046-200-1322,月～水・金 9：00～18：00 土 9：00～13：00,木・日・祝,"35.48691927806255, 139.4523880460464",,,,,,,,,鶴間
101,つるまライラック薬局,2420004,大和市鶴間1-3-7,046-261-9393,,046-261-9393,月～水・金 9：00～19：00 土 9：00～17：00,木・日・祝,"35.49056279828155, 139.45336986736535",,,,,,,,,鶴間
102,オダギリ薬局 ライラック店,2420004,大和市鶴間1-31-1,046-200-2893,,046-200-2893,月～金 9：00～20：00 土 9：00～18：00,日・祝,"35.490488677066864, 139.4541892500313",,,,,,,,,鶴間
103,東城薬局,2420004,大和市鶴間2-10-4,046-276-1077,,046-277-5287,月～水・金 8：45～19：00 木・土 8：45～12：30,木・日・祝,"35.49109253240388, 139.45213164210793",,,,,,,,,鶴間
104,オダギリ薬局 鶴間店,2420004,大和市鶴間2-11-30,046-271-6193,,046-271-6193,月・火・木・金 9：00～19：00 土 9：00～18：00 日 9：00～13：00,水・祝,"35.49050364331841, 139.45301374577312",,,,,,,,,鶴間
